time,temperature_2m_max,temperature_2m_min,precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant,et0_fao_evapotranspiration (mm)
01-01-2022,27,22.7,8.6,19,25.3,45,3.18
02-01-2022,27.9,23.9,0.9,7,20.9,48,3.9
03-01-2022,27.7,23.8,0,0,19.7,48,4.14
04-01-2022,27.2,22.4,0,0,21,34,4.13
05-01-2022,28,21.5,0.1,1,14.5,13,3.94
06-01-2022,28.2,21.5,0.1,1,15.6,47,3.74
07-01-2022,27.3,22.1,2.5,8,16.6,62,3.66
08-01-2022,27.8,22.5,0.4,3,17.4,61,3.83
09-01-2022,28.1,22.3,0,0,12.7,71,3.82
10-01-2022,28.5,21.8,0,0,12.5,110,4.02
11-01-2022,28.7,23.2,0.2,2,15.6,85,3.91
12-01-2022,28.8,22.6,2.3,6,13,126,3.51
13-01-2022,28.5,23,1.3,9,13,119,3.21
14-01-2022,27.2,22.7,1.9,6,9.7,92,2.96
15-01-2022,27.4,22.9,3.6,12,17.7,38,3.18
16-01-2022,28,22.1,1.4,7,21.2,35,3.86
17-01-2022,27.6,22.6,3.2,11,18.9,40,3.53
18-01-2022,27.1,23.1,0.9,6,18,39,3.97
19-01-2022,28.3,20.9,0,0,13.8,38,4.33
20-01-2022,28.6,20.1,0,0,15.4,121,4.23
21-01-2022,28.9,20.4,0,0,18.6,174,4.25
22-01-2022,28.9,21.9,0,0,18.2,166,4.07
23-01-2022,30.5,23.9,0.5,1,22.2,170,4.07
24-01-2022,29.7,24.5,2.1,4,19.4,175,3.91
25-01-2022,28.6,22.5,1.2,4,17.6,160,3.89
26-01-2022,28,22.2,0.1,1,13.3,145,3.45
27-01-2022,27.9,23.4,0.8,7,17.3,48,3.91
28-01-2022,28.2,22.5,0.8,6,22,32,4.29
29-01-2022,27.5,24.6,0.5,4,23.5,38,3.41
30-01-2022,28.6,24.1,0.2,2,16.2,57,4.14
31-01-2022,28.8,21.7,0,0,15.9,82,4
01-02-2022,28.1,21.1,0,0,13.1,107,4.26
02-02-2022,27.8,19.4,0,0,13,136,4.25
03-02-2022,28.1,20.2,0,0,16.1,150,4.61
04-02-2022,30.5,21.9,0,0,17.3,154,4.6
