time,temperature_2m_max,temperature_2m_min,precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant,et0_fao_evapotranspiration (mm)
01-01-2023,28.5,21.3,0,0,13,64,3.66
02-01-2023,28.2,21.8,0.1,1,9.6,84,3.87
03-01-2023,27.8,22,0.3,3,17.7,53,3.89
04-01-2023,27.6,22,1.9,7,16.7,62,4
05-01-2023,28.5,25,0,0,22.2,60,4.87
06-01-2023,28.1,24.4,0,0,24.5,42,4.56
07-01-2023,27.9,23.6,0.9,5,22.3,37,4.2
08-01-2023,27.2,22.2,1.4,8,20.7,32,3.8
09-01-2023,27,21.8,0,0,17.4,31,4.59
10-01-2023,27.2,19.9,0,0,18.2,8,4.29
11-01-2023,27.6,19.2,0,0,14.2,1,4.08
12-01-2023,27.5,19.8,0,0,13.2,28,3.98
13-01-2023,27.9,18.7,0,0,10.7,57,4.18
14-01-2023,27.6,19,0,0,12.7,64,4.04
15-01-2023,27.3,18.5,0,0,11.2,82,4.05
16-01-2023,27.4,18.2,0,0,15.6,51,4.29
17-01-2023,28,20.2,0.2,2,12.3,85,4.11
18-01-2023,28.4,20,0,0,15.4,73,4.06
19-01-2023,28.3,19.4,0,0,14.9,44,4.5
20-01-2023,27.3,22,3.2,12,18,54,3.7
21-01-2023,29.1,22.7,1.9,9,21.3,45,4.25
22-01-2023,28.3,22.4,0,0,17.7,48,4.11
23-01-2023,28.7,24.5,0.2,2,19.3,62,4.11
24-01-2023,28,23.3,0,0,17.1,70,4.67
25-01-2023,27.9,22.3,0.4,3,16,73,4.67
26-01-2023,29.2,21.5,0,0,18.4,50,4.63
27-01-2023,28.7,21.1,0,0,15.8,50,4.52
28-01-2023,28.9,21,0.2,2,18.2,25,4.45
29-01-2023,28.4,22.6,0.6,5,23.4,49,4.21
30-01-2023,28.9,24.1,1.9,8,24.3,53,4.22
31-01-2023,27.9,24.4,2,9,23.5,29,2.94
01-02-2023,28.6,24.9,0.9,4,24.1,34,3.8
02-02-2023,29,25.5,0,0,24.6,40,4.68
03-02-2023,29.1,25.7,0.9,5,22.9,52,5.05
04-02-2023,29,23.5,0,0,17.7,43,4.67
05-02-2023,28.7,20.9,0,0,16.5,40,4.29
06-02-2023,28.5,20.8,0,0,15.5,42,4.09
07-02-2023,29.3,20.7,0,0,13.5,99,4.3
08-02-2023,29,22,0,0,12,90,4.44
09-02-2023,28.7,21.4,0,0,12.4,99,4.28
10-02-2023,31.3,20.3,0,0,15.2,86,4.74
11-02-2023,29.9,21.1,0,0,12.8,119,4.26
12-02-2023,30.1,19.6,0,0,14.4,133,4.7
13-02-2023,29.4,19.9,0,0,13.3,95,4.62
14-02-2023,29.1,19.6,0,0,16.3,87,4.55
15-02-2023,30.1,20.7,0,0,16.6,80,4.75
16-02-2023,29.1,20,0,0,14.8,94,4.54
17-02-2023,29.1,19.4,0,0,13.9,126,4.7
18-02-2023,29.4,20.8,0,0,14.8,117,4.81
19-02-2023,29.6,22.2,0.1,1,14.4,100,4.75
20-02-2023,30.8,20.3,0,0,14.4,104,5.04
21-02-2023,31.4,20.7,0,0,16.3,131,5.2
22-02-2023,30.9,20.9,0,0,14.2,118,5.31
23-02-2023,30.3,20.6,0,0,16.9,128,5.17
24-02-2023,30.1,20.7,0,0,13,126,5.14
25-02-2023,30.7,19.6,0,0,14.4,87,5.09
26-02-2023,29.4,19.9,0,0,14.1,52,4.82
27-02-2023,31.7,20.7,0,0,16.7,39,5.6
28-02-2023,30.1,23.1,0.2,1,17.8,56,4.93
01-03-2023,30.6,25,0,0,17.3,57,5.41
02-03-2023,30.6,21.7,0,0,14,56,5.59
03-03-2023,30.7,21.4,0,0,17.1,29,5.44
04-03-2023,31.2,21.3,0,0,15.9,45,5.26
05-03-2023,31,22.2,0,0,15.8,41,5.22
06-03-2023,31,22.2,0,0,14.8,57,5.22
